protocol,total_packets,syn(common),"[syn,ack](common)",final_ack(common),syn_ratio(common),syn_ack_rate(common),ack_ratio(common),get_count,get_ratio,avg_pkt_size,unique_uri_ratio,avg_session_duration,num_contributing_ips,label
TCP,700,241,241,0,0.344,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,885,296,296,0,0.334,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,616,589,0,0,0.956,0,0,0,0,60,0,0,58,SYN Flood
TCP,373,373,0,0,1,0,0,0,0,60,0,0,15,SYN Flood
TCP,638,638,0,0,1,0,0,0,0,60,0,0,52,SYN Flood
TCP,141,141,0,0,1,0,0,0,0,60,0,0,12,SYN Flood
TCP,735,725,0,0,0.986,0,0,0,0,60,0,0,34,SYN Flood
TCP,435,435,0,0,1,0,0,0,0,60,0,0,12,SYN Flood
TCP,301,301,0,0,1,0,0,0,0,60,0,0,301,SYN Flood
TCP,400,132,132,0,0.33,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,352,352,0,0,1,0,0,0,0,60,0,0,24,SYN Flood
TCP,765,765,0,0,1,0,0,0,0,60,0,0,13,SYN Flood
TCP,410,134,134,0,0.327,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,961,319,319,0,0.332,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,431,431,0,0,1,0,0,0,0,60,0,0,21,SYN Flood
TCP,559,559,0,0,1,0,0,0,0,60,0,0,31,SYN Flood
TCP,833,811,0,0,0.974,0,0,0,0,60,0,0,33,SYN Flood
TCP,427,427,0,0,1,0,0,0,0,60,0,0,21,SYN Flood
TCP,576,193,193,0,0.335,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,820,820,0,0,1,0,0,0,0,60,0,0,56,SYN Flood
TCP,655,226,226,0,0.345,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,839,801,0,0,0.955,0,0,0,0,60,0,0,13,SYN Flood
TCP,522,522,0,0,1,0,0,0,0,60,0,0,44,SYN Flood
TCP,549,191,191,0,0.348,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,466,466,0,0,1,0,0,0,0,60,0,0,31,SYN Flood
TCP,840,268,268,0,0.319,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,436,150,150,0,0.344,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,606,209,209,0,0.345,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,989,331,331,0,0.335,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,443,141,141,0,0.318,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,912,302,302,0,0.331,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,480,476,0,0,0.992,0,0,0,0,60,0,0,35,SYN Flood
TCP,806,274,274,0,0.34,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,654,639,0,0,0.977,0,0,0,0,60,0,0,44,SYN Flood
TCP,621,621,0,0,1,0,0,0,0,60,0,0,39,SYN Flood
TCP,453,157,157,0,0.347,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,819,819,0,0,1,0,0,0,0,60,0,0,18,SYN Flood
TCP,351,120,120,0,0.342,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,993,993,0,0,1,0,0,0,0,60,0,0,76,SYN Flood
TCP,172,170,0,0,0.988,0,0,0,0,60,0,0,12,SYN Flood
TCP,943,304,304,0,0.322,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,325,310,0,0,0.954,0,0,0,0,60,0,0,13,SYN Flood
TCP,253,253,0,0,1,0,0,0,0,60,0,0,253,SYN Flood
TCP,941,304,304,0,0.323,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,396,396,0,0,1,0,0,0,0,60,0,0,36,SYN Flood
TCP,323,112,112,0,0.347,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,568,549,0,0,0.967,0,0,0,0,60,0,0,13,SYN Flood
TCP,511,163,163,0,0.319,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,493,172,172,0,0.349,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,685,229,229,0,0.334,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,379,124,124,0,0.327,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,688,234,234,0,0.34,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,746,746,0,0,1,0,0,0,0,60,0,0,18,SYN Flood
TCP,882,307,307,0,0.348,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,492,156,156,0,0.317,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,699,240,240,0,0.343,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,652,211,211,0,0.324,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,982,337,337,0,0.343,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,989,314,314,0,0.317,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,532,510,0,0,0.959,0,0,0,0,60,0,0,42,SYN Flood
TCP,335,325,0,0,0.97,0,0,0,0,60,0,0,14,SYN Flood
TCP,444,149,149,0,0.336,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,804,267,267,0,0.332,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,777,266,266,0,0.342,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,840,268,268,0,0.319,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,1000,1000,0,0,1,0,0,0,0,60,0,0,81,SYN Flood
TCP,438,438,0,0,1,0,0,0,0,60,0,0,18,SYN Flood
TCP,721,716,0,0,0.993,0,0,0,0,60,0,0,60,SYN Flood
TCP,502,174,174,0,0.347,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,954,318,318,0,0.333,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,822,806,0,0,0.981,0,0,0,0,60,0,0,37,SYN Flood
TCP,457,439,0,0,0.961,0,0,0,0,60,0,0,29,SYN Flood
TCP,594,202,202,0,0.34,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,418,140,140,0,0.335,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,961,961,0,0,1,0,0,0,0,60,0,0,72,SYN Flood
TCP,771,266,266,0,0.345,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,388,373,0,0,0.961,0,0,0,0,60,0,0,35,SYN Flood
TCP,999,334,334,0,0.334,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,702,222,222,0,0.316,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,750,750,0,0,1,0,0,0,0,60,0,0,60,SYN Flood
TCP,410,132,132,0,0.322,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,680,228,228,0,0.335,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,893,867,0,0,0.971,0,0,0,0,60,0,0,72,SYN Flood
TCP,537,186,186,0,0.346,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,509,509,0,0,1,0,0,0,0,60,0,0,35,SYN Flood
TCP,817,282,282,0,0.345,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,561,184,184,0,0.328,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,943,324,324,0,0.344,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,492,157,157,0,0.319,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,324,111,111,0,0.343,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,662,212,212,0,0.32,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,489,158,158,0,0.323,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,948,317,317,0,0.334,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,334,319,0,0,0.955,0,0,0,0,60,0,0,24,SYN Flood
TCP,481,160,160,0,0.333,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,821,821,0,0,1,0,0,0,0,60,0,0,39,SYN Flood
